WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.492736242284 39.7590529272616,116.492762980743 39.7590523488441))","1303836",1304301,,"00720120504900756001","04120504901832",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.301,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,2.3005877507848
"MULTILINESTRING ((116.49273448137 39.7591281386071,116.492845532244 39.7591280418639))","1303831",1304296,,"00720120504900753001","04120504901820",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,9.552,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,9.55208375186445
"MULTILINESTRING ((116.492762976031 39.7590500969739,116.492762980743 39.7590523488441))","1313306",1313774,,"00720120504900760001","04120504901831",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.492804131497 39.7590499275981,116.492804136211 39.7590521794682))","1313587",1314055,,"00720120504900762001","04120504901834",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.492804136211 39.7590521794682,116.492841328476 39.7590526118655))","1313588",1314056,,"00720120504900763001","04120504901835",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.2,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,3.19966029448053
"MULTILINESTRING ((116.492841328476 39.7590526118655,116.492845532244 39.7591280418639))","1313595",1314063,,"00720120504900770001","04120504901836",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,8.383,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.38322610949428
"MULTILINESTRING ((116.491749614632 39.7591773810735,116.491750158751 39.759181864609))","2257620",2258522,,"00720120504900001001","04120504902606",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,0.5,,28.88,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,0.500119985285242
"MULTILINESTRING ((116.491750158751 39.759181864609,116.491770192874 39.7593451976639))","2257619",2258521,,"00720120504900002001","04120504902607",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,18.221,,0,28.97,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,18.2209165529844
"MULTILINESTRING ((116.491750158751 39.759181864609,116.491783639054 39.7591804664491))","2257338",2258240,,"00720120504900003001","04120504902251",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.883,,0,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,2.88340076975117
"MULTILINESTRING ((116.491770192874 39.7593451976639,116.491917977913 39.7593421602092))","2257336",2258238,,"00720120504900004001","04120504902608",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,12.715,,28.97,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,12.714867046381
"MULTILINESTRING ((116.491917977913 39.7593421602092,116.491970142038 39.759341081682))","2268076",2268981,,"00720120504900008001","04120504902280",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,4.488,,0,29.751,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,4.48802684904549
"MULTILINESTRING ((116.491916291486 39.7592468581664,116.491917977913 39.7593421602092))","2268077",2268982,,"00720120504900007001","04120504901884",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,10.582,,0,0,,,,10-1156-L,"201205049",,"20160317144554",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23322",,,,10.581774189848
