WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.493349388255 39.7561510364491))","418678",418678,N54R335A097,,,"23402",511692.726,287664.807,四分运行维护一所,"02420120504952285001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493903992304 39.7568483633777))","418687",418687,N54R335A031,,,"23402",511740.306,287742.477,四分运行维护一所,"02420120504952186001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493862838687 39.7568485336194))","418688",418688,N54R335A030,,,"23402",511736.766,287742.477,四分运行维护一所,"02420120504952185001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494006502233 39.757552061044))","418684",418684,N54R335A034,,,"23402",511748.996,287820.647,四分运行维护一所,"02420120504952189001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493920811277 39.7575469210376))","418686",418686,N54R335A032,,,"23402",511741.626,287820.037,四分运行维护一所,"02420120504952187001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493985319078 39.7582565404057))","418685",418685,N54R335A033,,,"23402",511747.046,287898.847,四分运行维护一所,"02420120504952188001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493829202859 39.7575472999834))","419109",419109,N54R335A029,,,"23402",511733.746,287820.037,四分运行维护一所,"02420120504952184001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493749375505 39.7568490028213))","419110",419110,N54R335A028,,,"23402",511727.006,287742.477,四分运行维护一所,"02420120504952183001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493708221815 39.756849172943))","419111",419111,N54R335A027,,,"23402",511723.466,287742.477,四分运行维护一所,"02420120504952182001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493704584337 39.7581027714221))","419112",419112,N54R335A026,,,"23402",511722.926,287881.647,四分运行维护一所,"02420120504952181001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493663429882 39.7581029415121))","419113",419113,N54R335A025,,,"23402",511719.386,287881.647,四分运行维护一所,"02420120504952180001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492992084068 39.7579881898637))","417331",417331,N54R334A002,,,"23402",511661.66,287868.6,四分运行维护一所,"02420120504952305001",中压B 0.01<P<=0.2MPa,中压B 0.01<P<=0.2MPa
"MULTIPOINT ((116.493137218122 39.7572560601056))","416881",416881,N54R335A014,,,"23402",511674.276,287787.387,四分运行维护一所,"02420120504952170001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493330345524 39.758098822333))","416879",416879,N54R335A017,,,"23402",511690.736,287881.037,四分运行维护一所,"02420120504952172001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493423117764 39.7580984394541))","416876",416876,N54R335A020,,,"23402",511698.716,287881.037,四分运行维护一所,"02420120504952175001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493045609237 39.7572564376762))","413298",413298,N54R335A013,,,"23402",511666.396,287787.387,四分运行维护一所,"02420120504952169001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492830623198 39.7582590546855))","413302",413302,N54R335A009,,,"23402",511647.723,287898.597,四分运行维护一所,"02420120504952165001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492835909094 39.7565469640845))","413301",413301,N54R335A010,,,"23402",511648.486,287708.527,四分运行维护一所,"02420120504952166001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492586853886 39.7575419113091))","413304",413304,N54R335A007,,,"23402",511626.884,287818.87,四分运行维护一所,"02420120504952163001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.492303399191 39.7568248752463))","413307",413307,N54R335A005,,,"23402",511602.631,287739.137,四分运行维护一所,"02420120504952160001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49175724923 39.7560310249929))","413290",413290,N54R335A087,,,"23402",511555.795,287650.757,四分运行维护一所,"02420120504952266001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.491675986562 39.7566188859612))","415104",415104,N54R335A002,,,"23402",511548.7,287715.983,四分运行维护一所,"02420120504952158001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.491160504991 39.7565645336372))","415105",415105,N54R335A001,,,"23402",511504.37,287709.715,四分运行维护一所,"02420120504952157001",低压 P<=0.01MPa,低压 P<=0.01MPa
