WKT,fid,OBJECTID,OBJECT_ID,PIPENO,ORIGINALCO,PRESSURED,PRESSURER,MATERIAL,DIAMETERI,DIAMETERO,THICKNESS,LENGTH,TECHNICAL,STARTPOINT,ENDPOINTZ,PROFILEMAP,PLANCODE,DESIGNCODE,PROJECTCOD,SURVEYCODE,ANTICORROS,ORIGINALDA,INNERCODE,DATASOURCE,FROMLEVEL,SHAPE_LENG,DIAMETERPR,ENABLED,MANAGEREGI,REGION,UPDATETIME,MAPNAME,YEAR,SURVEYCO_1,MANAGERE_1,SHAPE_Le_1
"MULTILINESTRING ((116.493177878707 39.7562456470162,116.493179640599 39.7561545461069))","1311252",1311720,,"00720120504900822001","04120504902024",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,10.114,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,10.1143953352514
"MULTILINESTRING ((116.493177878707 39.7562456470162,116.493276161452 39.7562463946501))","1311253",1311721,,"00720120504900823001","04120504902017",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,8.455,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.45496895311493
"MULTILINESTRING ((116.493194770835 39.756151673354,116.493194775561 39.7561539252293))","1311261",1311729,,"00720120504900828001","04120504902022",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.493235874027 39.7561552149688,116.493235924363 39.7561515036386))","1311263",1311731,,"00720120504900830001","04120504902025",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.412,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.412030339164237
"MULTILINESTRING ((116.493235874027 39.7561552149688,116.493275927164 39.7561569683742))","1311264",1311732,,"00720120504900831001","04120504902026",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.452,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,3.45157847974666
"MULTILINESTRING ((116.493326015875 39.7561545638781,116.493349391822 39.7561532874284))","1304828",1305293,,"00720120504900843001","04120504902029",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,2.015,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,2.01526226569395
"MULTILINESTRING ((116.493349387091 39.7561510355531,116.493349391822 39.7561532874284))","1305109",1305575,,"00720120504900846001","04120504902028",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.493390540541 39.756150865715,116.493390545274 39.7561531175903))","1305357",1305823,,"00720120504900851001","04120504902031",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.493390545274 39.7561531175903,116.493426574995 39.7561544100833))","1305358",1305824,,"00720120504900852001","04120504902032",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,3.103,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,3.10312761621161
"MULTILINESTRING ((116.493425933719 39.7562475330802,116.493426574995 39.7561544100833))","1311606",1312074,,"00720120504900857001","04120504902033",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,10.338,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,10.338250721966
"MULTILINESTRING ((116.493425933719 39.7562475330802,116.493480434345 39.7562479476097))","1311607",1312075,,"00720120504900858001","04120504902020",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,4.689,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,4.68853761857938
"MULTILINESTRING ((116.49348309497 39.7561532129251,116.493504007794 39.7561526491676))","1311884",1312352,,"00720120504900866001","04120504902035",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,1.8,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,1.79978054180884
"MULTILINESTRING ((116.493480434345 39.7562479476097,116.49348309497 39.7561532129251))","1311881",1312349,,"00720120504900863001","04120504902036",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,10.519,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,10.5188769370175
"MULTILINESTRING ((116.493480434345 39.7562479476097,116.493601165735 39.7562488991816))","1311882",1312350,,"00720120504900864001","04120504902021",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,10.386,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,10.386247927659
"MULTILINESTRING ((116.493504003058 39.7561503972923,116.493504007794 39.7561526491676))","1311886",1312354,,"00720120504900868001","04120504902034",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.493545156433 39.7561502273322,116.49354516117 39.7561524792075))","1314476",1314944,,"00720120504900874001","04120504902037",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,0.25,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.25
"MULTILINESTRING ((116.493601165735 39.7562488991816,116.49360465331 39.756248884773))","1309570",1310037,,"00720120504900882001","04120504902535",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,0.3,,0,28.67,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.299999999813735
"MULTILINESTRING ((116.493600142223 39.7561547652042,116.493601165735 39.7562488991816))","1309569",1310036,,"00720120504900881001","04120504902039",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,10.451,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,10.4512411715954
"MULTILINESTRING ((116.493613872667 39.7559287443262,116.493896191004 39.7559224788451))","1309573",1310040,,"00720120504900885001","04120504902151",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,24.293,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,24.2925945920726
"MULTILINESTRING ((116.493609222816 39.7559288716284,116.493613872667 39.7559287443262))","1309571",1310038,,"00720120504900883001","04120504902557",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,0.4,,28.41,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,0.400179959893704
"MULTILINESTRING ((116.493609588368 39.7558319035071,116.493613872667 39.7559287443262))","1309572",1310039,,"00720120504900884001","04120504902152",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,10.759,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN80,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,10.7587271556829
"MULTILINESTRING ((116.49354516117 39.7561524792075,116.493600142223 39.7561547652042))","1314477",1314945,,"00720120504900875001","04120504902038",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,4.737,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,4.73722302643776
"MULTILINESTRING ((116.493064860366 39.7560535038266,116.49306701698 39.756244824929))","1314745",1315213,,"00720120504900808001","04120504902591",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,219,0,21.242,,28.142,28.32,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN200,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,21.2415367150388
"MULTILINESTRING ((116.493325151653 39.7562467690206,116.493326015875 39.7561545638781))","1314792",1315260,,"00720120504900841001","04120504902030",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,10.236,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,10.2364044971508
"MULTILINESTRING ((116.493325151653 39.7562467690206,116.493425933719 39.7562475330802))","1314793",1315261,,"00720120504900842001","04120504902019",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,8.67,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,8.66998973445966
"MULTILINESTRING ((116.493896191004 39.7559224788451,116.493899380419 39.7558307054212))","1314798",1315266,,"00720120504900917001","04120504902153",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,89,0,10.191,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN80,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,10.1911554799679
"MULTILINESTRING ((116.493896191004 39.7559224788451,116.494223565648 39.7559152235336))","1314799",1315267,,"00720120504900918001","04120504902558",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,28.17,,0,28.64,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,28.1696160601447
"MULTILINESTRING ((116.493275927164 39.7561569683742,116.493276161452 39.7562463946501))","1315065",1315533,,"00720120504900837001","04120504902027",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,9.928,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,9.92800080517578
"MULTILINESTRING ((116.493276161452 39.7562463946501,116.493325151653 39.7562467690206))","1315066",1315534,,"00720120504900838001","04120504902018",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,114,0,4.214,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN100,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,4.21448597073396
"MULTILINESTRING ((116.493179640599 39.7561545461069,116.493194775561 39.7561539252293))","1315272",1315740,,"00720120504900824001","04120504902023",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,60,0,1.303,,0,0,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN50,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,1.30347535476278
"MULTILINESTRING ((116.493041575406 39.756053842984,116.493064860366 39.7560535038266))","1321984",1322456,,"00720120504900800001","04120504902599",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,2.003,,28.2,28.142,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,2.00318196926982
"MULTILINESTRING ((116.491642490557 39.7565399266258,116.491885596901 39.7565128992255))","1305816",1306282,,"00720120504900690001","04120504902327",低压 P<=0.01MPa,低压 P<=0.01MPa,钢管,0,168,0,21.115,,29.06,28.79,,,,10-1156-L,"201205049",,"20170216095552",,实测,,,DN150,,四分运行维护一所,大兴区,1899/12/30 00:00:00.000,"23402",,,,21.1147142060009
