WKT,fid,OBJECTID,ECODE,FROMFILE,IMPORTDATE,MAPID,X,Y,MANAGEREGI,PIPENO,PRESSURED,PRESSURER
"MULTIPOINT ((116.496835563129 39.7629542849582))","421732",421732,N54R328A094,,,"23322",511991.349,288421.699,四分运行维护一所,"02420120504852177001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496728124275 39.7630182560014))","421737",421737,N54R328A089,,,"23322",511982.096,288428.751,四分运行维护一所,"02420120504852172001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496416558112 39.7630195597357))","425731",425731,N54R328A072,,,"23322",511955.297,288428.751,四分运行维护一所,"02420120504852156001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496457702705 39.7630193876607))","423030",423030,N54R328A076,,,"23322",511958.836,288428.751,四分运行维护一所,"02420120504852160001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496572335485 39.7630189080941))","422605",422605,N54R328A080,,,"23322",511968.696,288428.751,四分运行维护一所,"02420120504852164001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.496613491648 39.7630187358638))","422601",422601,N54R328A084,,,"23322",511972.236,288428.751,四分运行维护一所,"02420120504852168001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497585170229 39.763494572708))","394655",394655,N54R328A114,,,"23323",512055.725,288482.03,四分运行维护一所,"02420120504852240001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497502532437 39.7634949198041))","394658",394658,N54R328A110,,,"23323",512048.617,288482.03,四分运行维护一所,"02420120504852237001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497133010186 39.7634964705454))","395107",395107,N54R328A098,,,"23323",512016.833,288482.03,四分运行维护一所,"02420120504852225001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497049918686 39.7634968189459))","385390",385390,N54R328A095,,,"23323",512009.686,288482.03,四分运行维护一所,"02420120504852262001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49726023436 39.7635014314725))","395104",395104,N54R328A101,,,"23323",512027.775,288482.64,四分运行维护一所,"02420120504852228001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.497219089754 39.7635016040891))","395106",395106,N54R328A099,,,"23323",512024.236,288482.64,四分运行维护一所,"02420120504852226001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495693265612 39.761863463582))","419925",419925,N54R328A062,,,"23322",511893.297,288300.068,四分运行维护一所,"02420120504852147001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495538640555 39.7618641080864))","419932",419932,N54R328A055,,,"23322",511879.997,288300.068,四分运行维护一所,"02420120504852140001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.49557979642 39.7618639365823))","419929",419929,N54R328A058,,,"23322",511883.537,288300.068,四分运行维护一所,"02420120504852143001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495425182819 39.7618645807326))","423513",423513,N54R328A050,,,"23322",511870.238,288300.068,四分运行维护一所,"02420120504852135001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.495384026892 39.7618647521255))","423516",423516,N54R328A047,,,"23322",511866.698,288300.068,四分运行维护一所,"02420120504852132001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494126945095 39.7619396458719))","420391",420391,N54R328A012,,,"23322",511758.559,288307.803,四分运行维护一所,"02420120504852216001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.493931160741 39.7619404563197))","420382",420382,N54R328A006,,,"23322",511741.719,288307.803,四分运行维护一所,"02420120504852218001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494617891277 39.7620907295882))","421274",421274,N54R328A025,,,"23322",511800.759,288324.802,四分运行维护一所,"02420120504852112001",低压 P<=0.01MPa,低压 P<=0.01MPa
"MULTIPOINT ((116.494970614851 39.7620892645221))","423935",423935,N54R328A038,,,"23322",511831.098,288324.802,四分运行维护一所,"02420120504852123001",低压 P<=0.01MPa,低压 P<=0.01MPa
